Recall @ IoU=0.5, Cat=1, Area=[0, 10000000000.0] => Recall: 0.866660480653243
Recall @ IoU=0.5, Cat=1, Area=[0, 1024] => Recall: 0.7435004642525533
Recall @ IoU=0.5, Cat=1, Area=[1024, 9216] => Recall: 0.9368788611334945
Recall @ IoU=0.5, Cat=1, Area=[9216, 10000000000.0] => Recall: 0.9694100509832484
Recall @ IoU=0.5, Cat=2, Area=[0, 10000000000.0] => Recall: 0.6719745222929936
Recall @ IoU=0.5, Cat=2, Area=[0, 1024] => Recall: 0.49645390070921985
Recall @ IoU=0.5, Cat=2, Area=[1024, 9216] => Recall: 0.7723577235772358
Recall @ IoU=0.5, Cat=2, Area=[9216, 10000000000.0] => Recall: 0.92
Recall @ IoU=0.5, Cat=3, Area=[0, 10000000000.0] => Recall: 0.8018769551616267
Recall @ IoU=0.5, Cat=3, Area=[0, 1024] => Recall: 0.7309304274937133
Recall @ IoU=0.5, Cat=3, Area=[1024, 9216] => Recall: 0.9122486288848263
Recall @ IoU=0.5, Cat=3, Area=[9216, 10000000000.0] => Recall: 0.9438202247191011
Recall @ IoU=0.5, Cat=4, Area=[0, 10000000000.0] => Recall: 0.8365122615803815
Recall @ IoU=0.5, Cat=4, Area=[0, 1024] => Recall: 0.6263736263736264
Recall @ IoU=0.5, Cat=4, Area=[1024, 9216] => Recall: 0.8985507246376812
Recall @ IoU=0.5, Cat=4, Area=[9216, 10000000000.0] => Recall: 0.9130434782608695
Recall @ IoU=0.5, Cat=5, Area=[0, 10000000000.0] => Recall: 0.8671328671328671
Recall @ IoU=0.5, Cat=5, Area=[0, 1024] => Recall: 0.8
Recall @ IoU=0.5, Cat=5, Area=[1024, 9216] => Recall: 0.813953488372093
Recall @ IoU=0.5, Cat=5, Area=[9216, 10000000000.0] => Recall: 0.9285714285714286
Recall @ IoU=0.5, Cat=6, Area=[0, 10000000000.0] => Recall: 0.872791519434629
Recall @ IoU=0.5, Cat=6, Area=[0, 1024] => Recall: 0.5833333333333334
Recall @ IoU=0.5, Cat=6, Area=[1024, 9216] => Recall: 0.8414634146341463
Recall @ IoU=0.5, Cat=6, Area=[9216, 10000000000.0] => Recall: 0.9515151515151515
Recall @ IoU=0.5, Cat=7, Area=[0, 10000000000.0] => Recall: 0.8736842105263158
Recall @ IoU=0.5, Cat=7, Area=[0, 1024] => Recall: 0.5
Recall @ IoU=0.5, Cat=7, Area=[1024, 9216] => Recall: 0.6666666666666666
Recall @ IoU=0.5, Cat=7, Area=[9216, 10000000000.0] => Recall: 0.9047619047619048
Recall @ IoU=0.5, Cat=8, Area=[0, 10000000000.0] => Recall: 0.751207729468599
Recall @ IoU=0.5, Cat=8, Area=[0, 1024] => Recall: 0.6068376068376068
Recall @ IoU=0.5, Cat=8, Area=[1024, 9216] => Recall: 0.7682926829268293
Recall @ IoU=0.5, Cat=8, Area=[9216, 10000000000.0] => Recall: 0.8571428571428571
Recall @ IoU=0.5, Cat=9, Area=[0, 10000000000.0] => Recall: 0.6816037735849056
Recall @ IoU=0.5, Cat=9, Area=[0, 1024] => Recall: 0.5874439461883408
Recall @ IoU=0.5, Cat=9, Area=[1024, 9216] => Recall: 0.7703703703703704
Recall @ IoU=0.5, Cat=9, Area=[9216, 10000000000.0] => Recall: 0.8181818181818182
Recall @ IoU=0.5, Cat=10, Area=[0, 10000000000.0] => Recall: 0.5725552050473186
Recall @ IoU=0.5, Cat=10, Area=[0, 1024] => Recall: 0.5193798449612403
Recall @ IoU=0.5, Cat=10, Area=[1024, 9216] => Recall: 0.8181818181818182
Recall @ IoU=0.5, Cat=10, Area=[9216, 10000000000.0] => Recall: 0.7368421052631579
Recall @ IoU=0.5, Cat=11, Area=[0, 10000000000.0] => Recall: 0.8514851485148515
Recall @ IoU=0.5, Cat=11, Area=[0, 1024] => Recall: 0.6666666666666666
Recall @ IoU=0.5, Cat=11, Area=[1024, 9216] => Recall: 0.9
Recall @ IoU=0.5, Cat=11, Area=[9216, 10000000000.0] => Recall: 0.9318181818181818
Recall @ IoU=0.5, Cat=13, Area=[0, 10000000000.0] => Recall: 0.6666666666666666
Recall @ IoU=0.5, Cat=13, Area=[0, 1024] => Recall: 0.2222222222222222
Recall @ IoU=0.5, Cat=13, Area=[1024, 9216] => Recall: 0.8095238095238095
Recall @ IoU=0.5, Cat=13, Area=[9216, 10000000000.0] => Recall: 1.0
Recall @ IoU=0.5, Cat=14, Area=[0, 10000000000.0] => Recall: 0.5666666666666667
Recall @ IoU=0.5, Cat=14, Area=[0, 1024] => Recall: 0.25
Recall @ IoU=0.5, Cat=14, Area=[1024, 9216] => Recall: 0.6666666666666666
Recall @ IoU=0.5, Cat=14, Area=[9216, 10000000000.0] => Recall: 0.6956521739130435
Recall @ IoU=0.5, Cat=15, Area=[0, 10000000000.0] => Recall: 0.46958637469586373
Recall @ IoU=0.5, Cat=15, Area=[0, 1024] => Recall: 0.30864197530864196
Recall @ IoU=0.5, Cat=15, Area=[1024, 9216] => Recall: 0.4318181818181818
Recall @ IoU=0.5, Cat=15, Area=[9216, 10000000000.0] => Recall: 0.7350427350427351
Recall @ IoU=0.5, Cat=16, Area=[0, 10000000000.0] => Recall: 0.5925058548009368
Recall @ IoU=0.5, Cat=16, Area=[0, 1024] => Recall: 0.48299319727891155
Recall @ IoU=0.5, Cat=16, Area=[1024, 9216] => Recall: 0.7764705882352941
Recall @ IoU=0.5, Cat=16, Area=[9216, 10000000000.0] => Recall: 0.9375
